PROGRAM,CODE,COURSE,UNIT,TYPE,PREREQUISITE,LEVEL,SEMESTER
BSCA,CVS223,CUSTOMS VALUATION SYSTEM,3,TECH_SKILL,,2,2
BSCA,PIM223,PROCUREMENT & INVENTORY MANAGEMENT,3,TECH_SKILL,,2,2
BSCA,CCE225,CUSTOMS CLEARANCE,5,TECH_SKILL,,2,2
BSCA,FMAN223,FINANCIAL MANAGEMENT,3,GEN_ED,,2,2
BSCA,PE222,PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 4 - SPORTS (PATHFIT 4),2,GEN_ED,,2,2
BSCA,CBMEC223,STRATEGICS MANAGEMENT,3,GEN_ED,,3,1
BSCA,CAA315,CUSTOMES APPRAISAL & ASSESSMENT,3,TECH_SKILL,,3,1
BSCA,TRM313,TRANSPORTATION MANAGEMENT,3,TECH_SKILL,,3,1
BSCA,CPR315,CUSTOMS PROCEEDING,5,TECH_SKILL,,3,1
BSCA,RES313,RESEARCH 1 (CUSTOMS METHODS OF RESEARCH & THESIS PROPOSAL),3,TECH_SKILL,,3,1
BSCA,IBT313,INTERNATIONAL BUSINESS AND TRADE,3,TECH_SKILL,,3,1
BSCA,BLW323,BUSINESS LAW (OBLIGATIONS & CONTRACTS),3,GEN_ED,,3,2
BSCA,CAF325,CUSTOMS POST CLEARANCE AUDIT FRAUD MANAGEMENT,5,TECH_SKILL,,3,2
BSCA,TLS325,"EXCISE TAXES, LIQUIDATION OF DUTY & SURCHARGES",5,TECH_SKILL,,3,2
BSCA,RES323,RESEARCH 2 (CUSTOMS THESIS WRITING AND DEFENSE),3,CAP_OJT,,3,2
BSCA,HBO323,HUMAN BEHAVIOR IN ORGANIZATION,3,GEN_ED,,3,2
BSCA,OJTSMR,PRACTICUM (300 HOURS),3,CAP_OJT,,3,SUMMER
BSCA,CBMEC413,OPERATION MANAGEMENT,3,GEN_ED,,4,1
BSCA,ESB413,ETHICS & STANDARD OF THE CUSTOM BROKER,3,TECH_SKILL,,4,1
BSCA,DTR413,SPECIAL DUTIES & TRADE REMEDIES,3,TECH_SKILL,,4,1
BSCA,ITO415,"INTERNATIONAL TRADE ORGANIZATIONS, AGREEMENTS, & RULES OF ORIGIN",5,TECH_SKILL,,4,1
BSCA,IBT413,TAXATION (INCOME & BUSINESS TAXATION),3,TECH_SKILL,,4,1
BSCA,CAT425,CONTEMPORARY ASSESSMENT IN TARIFF MANAGEMENT,5,TECH_SKILL,,4,2
BSCA,CAT415,CONTEMPORARY ASSESSMENT IN CUSTOMS MANAGEMENT,5,TECH_SKILL,,4,2
BSOM,KDP115,KEYBOARDING AND DOCUMENT PROCESSING,5,TECH_SKILL,,1,1
BSOM,STENO115,FOUNDATION OF SHORTHAND,5,GEN_ED,,1,1
BSOM,ISA113,"INTEGRATED SOFTWARE APPLICATIONS 1 (COMPUTER W/ WINDOWS, MIS CONCEPTS, & DESKTOP PUBLISHING)",3,TECH_SKILL,,1,1
BSOM,MMW113,MATHEMATICS IN MODERN WORLD,3,GEN_ED,,1,1
BSOM,UNO113,UNDERSTANDING ONESELF,3,GEN_ED,,1,1
BSOM,PE112,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1),2,GEN_ED,,1,1
BSOM,NSTP113,NATIONAL SERVICE TRAINING PROGRAM 1,3,GEN_ED,,1,1
BSOM,STENO123,ADVANCED SHORTHAND,3,GEN_ED,,1,2
BSOM,PPD123,PERSONAL AND PROFESSIONAL DEVELOPMENT,3,GEN_ED,,1,2
BSOM,BAC123,ACCOUNTING PRINCIPLES II BASIC ACCOUNTING FOR PARTNERSHIP AND CORPORATIONS),3,GEN_ED,,1,2
BSOM,ISA123,"INTEGRATED SOFTWARE APPLICATIONS 2 (WORD PROCESSING, SPREADSHEETS, AND PRESENTATION GRAPHICS)",3,TECH_SKILL,,1,2
BSOM,PCOM123,PURPOSIVE COMMUNICATION,3,GEN_ED,,1,2
BSOM,RIZ123,RIZAL'S LIFE AND WORKS,3,GEN_ED,,1,2
BSOM,PE122,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2),2,GEN_ED,,1,2
BSOM,NSTP123,NATIONAL SERVICE TRAINING PROGRAM 2,3,GEN_ED,,1,2
BSOM,STENO213,TAKIGRAPIYANG FILIPINO (FILIPINO ISTENO),3,GEN_ED,,2,1
BSOM,ENG213,BUSINESS CORRESPONDENCE & REPORT WRITING,3,GEN_ED,,2,1
BSOM,OP213,ADMINISTRATIVE OFFICE PROCEDURES AND MANAGEMENT,3,GEN_ED,,2,1
BSOM,RPH213,READINGS IN PHILIPPINE HISTORY (WITH INTEGRATION OF INDIGENOUS PEOPLE EDUCATION),3,GEN_ED,,2,1
BSOM,CBMEC213,OPERATIONS MANAGEMENT (TQM),3,GEN_ED,,2,1
BSOM,TCC213,THE CONTEMPORARY WORLD,3,GEN_ED,,2,1
BSOM,COMW213,INTERNET AND BASIC WEB DESIGN,3,TECH_SKILL,,2,1
BSOM,PE212,PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 3 - ARNIS (PATHFIT 3),2,GEN_ED,,2,1
BSOM,STS223,"SCIENCE, TECHNOLOGY, AND SOCIETY (WITH INTEGRATION OF PEACE STUDIES)",3,GEN_ED,,2,2
BSOM,OJT223,OFFICE ADMINISTRATION INTERNSHIP,3,CAP_OJT,,2,2
BSOM,PE222,PHYSICAL ACTIVITIES TOWARDS HEALTH & FITNESS 4 - SPORTS (PATHFIT 4),2,GEN_ED,,2,2
BSOM,SOC313,GENERAL SOCIOLOGY (WITH GENDER AND DEVELOPMENT),3,GEN_ED,,3,1
BSOM,SCI313,"BIOLOGICAL SCIENCE (WITH HIV, SARS, AND AIDS EDUCATION)",3,GEN_ED,,3,1
BSOM,CBMEC313,STRATEGICS MANAGEMENT,3,GEN_ED,,3,1
BSOM,IRES313,INTERNET RESEARCH FOR BUSINESS,3,CAP_OJT,,3,1
BSOM,MSH313,MACHINE SHORTHAND 1,3,TECH_SKILL,,3,1
BSOM,SCI323,ENVIRONMENTAL SCIENCE,3,GEN_ED,,3,2
BSOM,PPCR323,PRINCIPLES OF PUBLIC & CUSTOMER RELATIONS,3,GEN_ED,,3,2
BSOM,EMGT323,EVENTS MANAGEMENT,3,GEN_ED,,3,2
BSOM,LAW323,BUSINESS LAW,3,GEN_ED,,3,2
BSOM,LOP323,LEGAL OFFICE PROCEDURES,3,CAP_OJT,,3,2
BSOM,AAP413,ART APPRECIATION,3,GEN_ED,,4,1
BSOM,BEL413,BUSINESS ETHICS & LEADERSHIP,3,GEN_ED,,4,1
BSOM,ENT413,ENTREPRENEURIAL BEHAVIOR AND COMPETENCIES,3,GEN_ED,,4,1
BSOM,LAW413,TAXATION,3,TECH_SKILL,,4,1
BSOM,MOP413,MEDICAL OFFICE PROCEDURES,3,CAP_OJT,,4,1
BSOM,OJT423,LEGAL OFFICE INTERNSHIP,3,CAP_OJT,,4,2
BTVTEd-FSM,US113,UNDERSTANDING THE SELF,3,GEN_ED,,1,1
BTVTEd-FSM,RPH113,READINGS IN PHILIPPINE HISTORY (WITH INTEGRATION OF INDIGENOUS PEOPLE EDUCATION),3,GEN_ED,,1,1
BTVTEd-FSM,MATH113,MATHEMATICS IN MODERN WORLD,3,GEN_ED,,1,1
BTVTEd-FSM,SCI113,SCIENCE AND TECHNOLOGY,3,GEN_ED,,1,1
BTVTEd-FSM,PCOM113,PURPOSIVE COMMUNICATION,3,GEN_ED,,1,1
BTVTEd-FSM,AAP113,ART APPRECIATION,3,GEN_ED,,1,1
BTVTEd-FSM,RIZ113,LIFE AND WORKS OF RIZAL,3,GEN_ED,,1,1
BTVTEd-FSM,NSTP113,NATIONAL SERVICE TRAINING PROGRAM 1,3,GEN_ED,,1,1
BTVTEd-FSM,PE112,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 1 - MOVEMENT COMPETENCY TRAINING (PATHFIT 1),2,GEN_ED,,1,1
BTVTEd-FSM,CW123,CONTEMPORARY WORLD,3,GEN_ED,,1,2
BTVTEd-FSM,MST-ES123,ENVIRONMENTAL SCIENCE,3,GEN_ED,,1,2
BTVTEd-FSM,MST-IT123,IT APPLICATION TOOLS IN BUSINESS,3,TECH_SKILL,,1,2
BTVTEd-FSM,SSP-PS123,SOCIOLOGY WITH INTEGRAION OF PEACE STUDIES,3,GEN_ED,,1,2
BTVTEd-FSM,ETHICS123,ETHICS,3,GEN_ED,,1,2
BTVTEd-FSM,EDTC123,THE CHILD AND ADOLESCENT LEARNER AND LEARNING PRINCIPLES,3,GEN_ED,,1,2
BTVTEd-FSM,ED123,THE TEACHING PROFESSION,3,GEN_ED,,1,2
BTVTEd-FSM,NSTP123,NATIONAL SERVICE TRAINING PROGRAM 2,3,GEN_ED,,1,2
BTVTEd-FSM,PE,PHYSICAL ACTIVITIES TOWARDS HEALTH AND FITNESS 2 - EXECISE-BASED FITNESS ACTIVITIES (PATHFIT 2),2,GEN_ED,,1,2
BTVTEd-FSM,FACI213,FACILITATING LEARNER-CENTERED TEACHING: THE LEARNER-CENTERED APPROACHES WITH EMPHASIS ON TRAINER'S METHODOLOGY I,3,GEN_ED,,2,1
BTVTEd-FSM,TECH21,TECHNOLOGY FOR TEACHING AND LEARNING 1**,3,TECH_SKILL,,2,1
BTVTEd-FSM,CUR213,BUILDING AND ENHANCING NEW LITERACIES ACROSS THE CURRICULUM WITH EMPHASIS ON THE 21ST CENTURY SKILLS,3,GEN_ED,,2,1
BTVTEd-FSM,ANDRA213,THE ANDRAGOGY OF LEARNING INCLUDING PRINCIPLES OF TRAINER'S METHODOLOGY I,3,GEN_ED,,2,1
BTVTEd-FSM,ASSES213,ASSESSMENT IN LEARNING 1,3,GEN_ED,,2,1
BTVTEd-FSM,TLE213,INTRODUCTION TO INDUSTRIAL ARTS,3,TECH_SKILL,,2,1
